1.14.139.184,129.463606500
1.20.225.235,131.059986719
1.224.3.122,.163830212
1.255.134.136,.166031500
1.36.76.10,130.711413436
1.36.76.102,131.061943680
1.36.76.168,131.061997463
1.36.76.220,131.064082143
1.4.214.148,.258900867
101.109.30.178,130.794669404
101.32.243.126,131.058527488
101.51.3.84,131.070206393
102.130.192.231,.235392876
103.105.212.106,130.815118295
103.105.86.62,131.061963501
103.111.189.14,131.061337321
103.113.195.106,131.061462141
103.114.98.217,.282965500
103.117.192.14,.280682288
103.119.55.21,130.480498229
103.121.215.34,.230872968
103.122.32.10,7.402412666
103.123.235.58,.266882512
103.15.60.21,129.274913940
103.19.130.50,131.061466002
103.199.169.30,131.061251579
103.21.244.36,.006197907
103.21.244.39,.005897418
103.21.244.63,.005842631
103.21.244.95,.005751456
103.212.99.235,.176414840
103.221.254.121,130.844678030
103.221.54.113,131.062113771
103.23.101.193,.222078544
103.23.236.238,.284588266
103.248.93.5,130.531436103
103.25.209.50,.225126292
103.31.235.74,.258134594
103.31.251.69,130.558553628
103.36.8.244,.796252514
103.4.117.161,.245114555
103.65.214.147,.228773921
103.74.147.22,129.762586627
103.75.27.58,.217639179
103.77.41.138,130.834736358
103.78.27.44,131.061520864
103.79.96.145,.241896730
103.86.49.133,.274549710
103.94.123.214,130.525006894
104.154.67.127,131.061580436
104.208.115.113,.198379272
104.208.119.205,.198936224
104.208.71.196,130.644102103
104.208.74.76,131.065031842
104.208.75.168,131.058633861
104.208.83.99,131.061092882
104.208.97.127,131.067643988
104.208.97.22,131.062255202
104.208.98.217,.192959447
104.208.99.32,130.858035053
104.208.99.66,131.062472692
104.223.135.178,131.061551071
104.236.78.102,.041480081
104.45.128.122,.037576874
106.0.48.132,130.962963895
106.14.255.124,131.061338171
107.1.93.211,.073781342
107.1.93.222,.073787560
107.148.193.177,130.894680219
107.152.33.142,.021412678
107.152.44.51,.040325006
107.173.148.253,130.979485066
108.61.175.7,131.061807592
109.110.35.210,.280570092
109.194.101.128,130.770765840
109.68.148.60,.219151155
109.73.32.10,.198206292
110.238.73.59,130.623494783
110.34.1.46,131.061550822
110.77.134.106,.245609196
110.77.161.197,130.805046499
110.78.149.235,.260056221
110.83.46.232,130.788052222
111.225.153.206,131.071370913
111.68.40.15,131.060273479
112.229.107.62,131.066003291
112.78.134.211,131.061563467
112.78.137.106,131.062226814
113.23.176.254,.198137120
113.30.153.127,.117812440
113.30.153.3,.119036551
113.30.154.149,.117228133
113.30.155.159,.118712213
113.30.155.230,.117778365
113.30.155.34,.117962426
113.53.94.12,.272972927
113.69.25.224,129.799002712
114.115.223.222,131.061917975
114.223.9.195,131.061292140
114.43.107.21,.235396288
115.218.59.83,130.816021643
115.243.238.43,131.061748423
115.243.238.45,131.061941764
115.42.2.252,131.061538159
116.0.4.54,131.061462639
116.107.50.247,131.061726295
116.193.175.48,.221177422
116.202.209.248,.140049934
116.58.232.187,130.680558493
116.90.229.186,.305083433
117.212.192.220,130.746411011
117.242.100.163,131.061386155
117.29.80.222,131.062019311
118.137.71.3,.226482499
118.172.187.127,130.826459585
118.175.93.94,131.059603394
118.238.12.55,.136214210
118.67.223.4,.284784383
118.99.102.124,.208636743
119.18.84.22,130.402279080
119.18.87.34,.186004419
119.18.88.62,130.863940172
119.3.122.177,131.061198164
119.3.158.56,131.061169310
119.42.152.252,131.061978143
